ATP5J2-PTCD1	G3V325
C15orf38-AP3S2	A0A0A6YYH1
C7orf55-LUC7L2	Q96HJ9
CHURC1-FNTB	P49356
COMMD3-BMI1	R4GMX3
PMF1-BGLAP	Q6P1K2
PPAN-P2RY11	A0A0B4J1V8
RBM14-RBM4	Q96PK6
LOC441155	B4DYM8
AAASSIR	Q9NRG9
TNFAIP8L2-SCNM1	Q9BWG6
TRIM39-RPP21	A0A096LP39
UQCRHL	A0A096LP55
TMED7-TICAM2	A0A0A6YYA0
TGIF2-C20orf24	A0A0A6YYL0
TMEM129	A0AVI4
MED19	A0JLT2
UHRF1BP1L	A0JNW5
DHRS12	A0PJE2
TMEM223	A0PJW6
FAM168B	A1KXE4
ILVBL	A1L0T0
GTPBP10	A4D1E9
MBLAC1	A4D2B0
TMEM189	A5PLL7
TRAPPC13	A5PLN9
CNOT1	A5YKK6
MAP1LC3B2	A6NCE7
PGP	A6NDG6
DNAJC9	A6NH13
USP27X	A6NNY8
ZSWIM8	A7E2V4
POM121C	A8CG34
C17orf51	A8MQB3
PHF20L1	A8MW92
C2orf74	A8MZ97
MIF4GD	A9UHW6
IBA57	B1ANH7
ZNF814	B7Z6K7
RPA3	C9J7I0
C7orf73	E0CX11
NDUFC2	E9PQ53
NDUFC2-KCTD14	E9PQ53
C9orf69	H0YL14
ANKHD1-EIF4EBP3	H7C0V5
ISY1-RAB43	H9XFA1
TMEM189-UBE2V1	I3L0A0
ZNF561	K7EIQ3
DNASE2	O00115
AGPS	O00116
SNAP23	O00161
HAX1	O00165
AIP	O00170
STXBP3	O00186
C11orf58	O00193
AP3B1	O00203
NDUFS8	O00217
PSMD11	O00231
PSMD12	O00232
PSMD9	O00233
RNF103	O00237
ATOX1	O00244
MEN1	O00255
WRB	O00258
SUPT5H	O00267
TAF4	O00268
DFFA	O00273
WWP2	O00308
PDHX	O00330
QSOX1	O00391
DCTN6	O00399
SAP18	O00422
DNM1L	O00429
RTCA	O00442
IFRD1	O00458
ELL2	O00472
NDUFA4	O00483
PSMD14	O00487
ZNF593	O00488
PES1	O00541
EBAG9	O00559
SDCBP	O00560
MPHOSPH10	O00566
NOP56	O00567
DDX3X	O00571
PEX12	O00623
PPP6C	O00743
CDK2AP1	O14519
SDHD	O14521
TXNDC9	O14530
SOCS6	O14544
COX7A2L	O14548
UBFD1	O14562
COPE	O14579
RFXANK	O14593
CTDSP2	O14595
AP3D1	O14617
ZNF195	O14628
GOSR2	O14653
TOR1A	O14656
TOR1B	O14657
EI24	O14681
ZNF197	O14709
ITGB1BP1	O14713
RIOK3	O14730
ACOT8	O14734
CDIPT	O14735
PDCD5	O14737
PRMT5	O14744
FPGT	O14772
TCERG1	O14776
PSMA7	O14818
SCAMP3	O14828
BCKDK	O14874
MGST3	O14880
GIPC1	O14908
HAT1	O14929
UQCRQ	O14949
MYL12B	O14950
UQCR11	O14957
HGS	O14964
DSCR3	O14972
AZIN1	O14977
HNRPDL	O14979
XPO1	O14980
SEC16A	O15027
KHNYN	O15037
ZBTB39	O15060
ZBTB5	O15062
ANKRD28	O15084
ARHGEF11	O15085
KIAA0391	O15091
CHUK	O15111
LSM1	O15116
NPC1	O15118
DEGS1	O15121
SCAMP2	O15127
ARPC2	O15144
POLR1C	O15160
AXIN1	O15169
PGRMC2	O15173
PFDN6	O15212
WDR46	O15213
GNPAT	O15228
CASC3	O15234
MRPS12	O15235
LEPROT	O15243
ACOX3	O15254
RER1	O15258
SURF4	O15260
OGT	O15294
SIVA1	O15304
CTAGE5	O15320
TM9SF1	O15321
ATP6V0E1	O15342
EIF3D	O15371
EIF3H	O15372
HDAC3	O15379
BCAT2	O15382
IPO8	O15397
YKT6	O15498
NUPL2	O15504
POLR2D	O15514
CLOCK	O15516
OGG1	O15527
TAPBP	O15533
RNF113A	O15541
DHX15	O43143
TTI1	O43156
RRP8	O43159
CYB5B	O43169
PRPF4	O43172
NDUFS4	O43181
PSMD3	O43242
SIAH2	O43255
ZNHIT1	O43257
ZW10	O43264
B4GALT5	O43286
SART1	O43290
GPAA1	O43292
MTSS1	O43312
ATMIN	O43313
MAP3K7	O43318
EEF1E1	O43324
LYRM1	O43325
HNRNPR	O43390
PRPF3	O43395
TXNL1	O43396
TPD52L2	O43399
EMC8	O43402
ERI3	O43414
ANP32C	O43423
FIBP	O43427
EIF4G3	O43432
PPIH	O43447
MBTPS2	O43462
HTRA2	O43464
AKR7A2	O43488
TGOLN2	O43493
RAD51C	O43502
LAMTOR5	O43504
MED7	O43513
RNF13	O43567
DENR	O43583
XPOT	O43592
TIMM44	O43615
TRAPPC3	O43617
CHMP2A	O43633
PLRG1	O43660
ZNF207	O43670
NDUFB5	O43674
NDUFB3	O43676
NDUFC1	O43677
NDUFA2	O43678
ASNA1	O43681
BUB3	O43684
WBSCR22	O43709
TRIAP1	O43715
GATC	O43716
AP1G1	O43747
SGTA	O43765
LIAS	O43766
ENSA	O43768
NARS	O43776
SPOP	O43791
SSNA1	O43805
NUDT21	O43809
SCO2	O43819
C21orf2	O43822
AKAP8	O43823
ZBTB14	O43829
IDH3B	O43837
CALU	O43852
CREB3	O43889
EXTL3	O43909
NDUFS5	O43920
PDE6D	O43924
ORC4	O43929
PEX1	O43933
MFSD11	O43934
DHX16	O60231
SSSCA1	O60232
HS6ST1	O60243
MED14	O60244
SPAG9	O60271
MGRN1	O60291
CEP104	O60308
OPA1	O60313
MCM3AP	O60318
MARCH6	O60337
HBP1	O60381
MAN1A2	O60476
SNX3	O60493
STX10	O60499
SYNCRIP	O60506
CDC40	O60508
B4GALT3	O60512
RANBP6	O60518
PLOD3	O60568
EIF4E2	O60573
EXOC3	O60645
PLIN3	O60664
RAD1	O60671
TPST2	O60704
CTNND1	O60716
ICMT	O60725
EIF1B	O60739
SNX2	O60749
DPM1	O60762
MRPS14	O60783
CCDC22	O60826
PQBP1	O60828
TIMM17B	O60830
DKC1	O60832
EIF5B	O60841
EDF1	O60869
DNAJA2	O60884
BRD4	O60885
CUTA	O60888
HUS1	O60921
PPP1R11	O60927
RNASEH1	O60930
NBN	O60934
ABCB7	O75027
FAM20B	O75063
EFCAB14	O75071
WDR1	O75083
N4BP1	O75113
ZNF623	O75123
PTCD1	O75127
CPNE3	O75131
ZBED4	O75132
ATG13	O75143
RNF40	O75150
ZC3H11A	O75152
KDM4A	O75164
PPP6R2	O75170
CNOT3	O75175
ANKRD17	O75179
PEX11A	O75192
TMEM127	O75204
GGCT	O75223
NDUFS7	O75251
NDUFS2	O75306
ZNF259	O75312
DUSP11	O75319
PDCD6	O75340
TBCA	O75347
ATP6V1G1	O75348
MPDU1	O75352
ENTPD6	O75354
H2AFY	O75367
NCOR1	O75376
NDUFS6	O75380
PEX14	O75381
TRIM3	O75382
ULK1	O75385
SPAG7	O75391
MRPL33	O75394
SEC22B	O75396
PRPF40A	O75400
NME6	O75414
MTX2	O75431
VPS26A	O75436
PMPCB	O75439
SAP30	O75446
MED24	O75448
NDUFS3	O75489
SRSF10	O75494
HSBP1	O75506
ECI2	O75521
TADA3	O75528
TAF5L	O75529
EED	O75530
BANF1	O75531
SF3B1	O75533
WBP4	O75554
CRCP	O75575
MED6	O75586
ERAL1	O75616
DEDD	O75618
CREG1	O75629
SNRNP200	O75643
TIPRL	O75663
SURF6	O75683
PPM1B	O75688
STK16	O75716
CDC123	O75794
POP7	O75817
ZNF189	O75820
EIF3G	O75821
EIF3J	O75822
PSMD10	O75832
ZMPSTE24	O75844
PPP1R37	O75864
SCO1	O75880
ATRN	O75882
STAM2	O75886
TUSC2	O75896
CCNK	O75909
PIAS1	O75925
BCAS2	O75934
DCTN3	O75935
DNAJC8	O75937
SMNDC1	O75940
RAD17	O75943
ATP5H	O75947
FLOT1	O75955
ATP5L	O75964
SNAPC5	O75971
CPD	O75976
GLRX3	O76003
RSL1D1	O76021
CLPX	O76031
CIAO1	O76071
ZFAND5	O76080
SRP72	O76094
JTB	O76095
URI1	O94763
MTA2	O94776
ATG12	O94817
TOMM70A	O94826
TOX4	O94842
KIAA0754	O94854
SUPT7L	O94864
UFL1	O94874
TMCC1	O94876
PROSC	O94903
PRPF6	O94906
PCF11	O94913
GLCE	O94923
UBOX5	O94941
USP19	O94966
AP2A2	O94973
